TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"
HOUSE OF MIRRORS;USA AND CANADA;YES;FENIX PICTURES;0 609408 422591;;DVD;;500,68;;THRILLER / HORROR;HOUSE OF MIRRORS;Pacino,Josette/Shotwell,Brian/Razer,Xu/Klebba,Martin/Saint,Jeremiah;Neil Hoff, Brian;;Full;;30;1;19,98;;;;;2012;8/26/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widescreen;16:09;NA;English;NO;NO;80 MINS;;YES;NN;;;;;;IT, I Know What You Did Last Summer, Insomnia;http://www.privatecinema.info/#!house-of-mirrors/ccso;After a lifetime of having to listen to what an amazing actor her brother Al is, Josette Pacino is finally throwing her hat into the performing arts ring to do some acting of her own. She'll be making her debut in the upcoming thriller House of Mirrors playing the world's worst therapist in this mind-screw of a film. In addition to Pacino, the film features Brian Shotwell (who also directed), Xu Razer (Fragments), Goth rocker Jeremiah Saint, Ashley Hazel, BB Ingle and Nicole Hughes in this very diverse cast. It revolves around a rich music executive who is being blackmailed for a murder he may or may not have committed.;Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Limited Theatrical release, 5 theaters in LA and 5 in New York to start with. Social Media promotion in all platforms;A successful music executive receives a phone call from a stranger who claims to have evidence that could destroy his life.;HD;1 M;Brian Neil Hoff;Brian Neil Hoff, Xu Razer;Brian Neil Hoff;Brian Neil Hoff;Brian Neil Hoff;Elevation 4 Entertainment;R

RULERS OF DARKNESS;USA AND CANADA;YES;FENIX PICTURES;0 609408 422607;;DVD;;500,69;;Sci-Fi / Thriller;Rulers of Darkness;Suprenant,Olivier/Cairns,Rachel/Slacke,Mark/Burke,Corry;Windler,Dale;;Full;;30;1;19,98;;;;;2013;8/26/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widescreen;16:09;NA;English;NO;NO;88 min;;Yes;NN;;;;;;Blair Witch Project, Friday the 13th, Scream, The Thing, Slither, The Crazies;http://www.privatecinema.info/#!rulers-of-darkness/cqsu;"Won, Royal Reel Award Feature Film Competition Mother / UFO / Manitoba Canada / Supernatural / Mysterious 
 
 Inspired by the declassified top secret files about the Falcon Lake Insident ( http://en.wikipedia.org/wiki/Falcon_Lake_incident )";Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published . Massive follow up on all social networks including Facebook and Tweeter.;A 20 year old, runs away from his conservative father to the remote town where his mother died two years ago. He meets an alluring young woman. They search for answers about his mother's death and discover a terrifying entity in the woods.;HD;1m;Kevin Carrawa;Dale Windle;Robert Delvechio, Kevin Hicks;Matthew A. McDonald;Adam Bowick;Aventus Films ;PG13

Blood Predator;USA AND CANADA;YES;FENIX PICTURES;0 609408 422393;;DVD;;500,7;;SCI-FI/Horror/Creature;Blood Predator;Anderson,Dale/Aspengren,Rayne/Cohn,Jared/Devlin,Bill;Gagne,Paul;;Full;;30;1;19,98;;;;;2012;9/9/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widescreen;16:09;NA;English;NO;NO;130MINS;;YES;NN;;;;;;Alien, Predator, The Thing;http://www.privatecinema.info/#!blood-predator/c21em;won 11 awards at the Antalya Golden Orange Film Festival;Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published - Agressive exposure and follow ups on Facebook, Tweeter and other solcial networks.;"A private jet crashes in the Sierra mountains and all seven passengers survive. In freezing temperatures the group searches for shelter and discovers an abandoned avalanche station. With a huge snow storm headed their way, they elect to take refuge until the weather improves. Two days pass, and with no rescue team in sight, the group decides to search for the plane, in hopes of fixing the radio to call help, but the fresh snow has covered up their tracks.
 
 One by one, the survivors are devoured alive by an alien creature with an insatiable appetite for human flesh. The remaining survivors group together to fight back and kill the human-eating aliens - or be eaten.";HD;1 M;Paul Gagne, Robert A. Bradford;Paul Gagne;Randy Carter;Ray Kurtluyan;Michael Patterson, Duffy Westlake, ;A New World Picture;R

Legend of the 5ive, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 422614;;DVD;;500,71;;Super-natural horror, comedy;Legend of the 5ive, the ;Seelig, Lennah / Tanner, Greg / Higgs, Lee J;Weatherall, James P;;Full;;30;1;19,99;;;;;2010;9/9/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;90 Minutes;;YES;NN;;;;;;"BLAIR WITCH PROJECT, THE LAST BROADCAST, 
PARANORMAL ACTIVITY";http://www.privatecinema.info/#!legen-of-the-five-the/c24fo;"1* ""A found footage movie from the shores of Britain. The movie really does ratchet up the tension to almost unbearable levels, and is all the better for it. This is an altogether different beast, and anyone expecting another Paranormal Activity might very well be shocked by the amount of blood and gore in this movie"" - http://doctorcarnage.blogspot.co.uk/2013/04/legend-of-5ive-2012.html 

 2* *THE LEGEND OF THE 5IVE is a throwback to the late 1990s style of found footage films. The acting was solid, story was interesting, and pacing was quick. I recommend this. It was great fun. - http://www.scaredstiffreviews.com/?p=3016 3* Inspired by the true story of Anne Foster the last woman in Britian assused, convicted and sentenced to death for Witchcraft.

1* - Won Best supporting actors awards at the 2013 Tabloid Witch Awards 
LA sponsored by the Hollywood Investigator. 2* - Featured heavily 
throughout 2013 low budget Horor Festival circuit. *3 - Acquired 
numerous positive published reviews of the movie *4 Social media 
promotion via Facebook and Youtube underway ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";All Hallows Eve – the perfect night for a ghost hunt. At least that’s what documentary film‐maker Julia Marsh was told when she joined ‘Paranormal Investigations Inc’ for their Live Halloween special. Their mission: to unravel the mystery surrounding the legendof the ‘Screaming Spectres of Emerson Farm’. Their mistake: to awaken an arcane presence triggering a night of heart‐stopping paranormal terror..;HD;3.5 M;Robert Fairhurst, Lennah Seelig;Lennah Seelig, James P. Weatherall;James P. Weatherall;James Roberts;Paris Munro;Retribution Films;PG13

Collapse;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422454;;DVD;;500,72;;Psychological/Supernatural horror/ Zombie;Collapse;Mulkey,Chris/Landry,Karen/Reinders,Travis s/Quigley,Linnea;Bolinger,Jason;;Full;;30;1;19,98;;;;;2013;9/23/14;NN;;;;;Amaray;1;NTSC;STEREO;Color;Widescreen;16:09;NA;English;NO;NO;85 Minutes;;Yes;NN;;;;;;War Z, Zombieland, The Others;http://www.privatecinema.info/#!collapse/cdw9;"Starring Chris Mulkey Best Ensemble Acting for Little Chenier 
 Nominated, Golden Nymph
 Mini-Series - Best Performance by an Actor for Broken Trail.
 Won, Angel Film Award 
 KNOWN FOR 
 Captain Phillips (2013) | First Blood (1982) | Mysterious Skin (2004)
 
 
 ""Aaward-winning actor David Cross who won an Emmy in 1993 for Outstanding Individual Achievement in Writing in a Variety or Music Program for The Ben Stiller Show
 -Written, directed and produced by Gary Walkow; Walkow won the 1987 Sundance Film Festival Grand Jury Prize for The Trouble with Dick
 -12 Annual Gen Art Film Festival opening night feature
 -Crashing is the first sequel to a Sundance Grand Prize Winner
 """;Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Agressive exposure and follow ups on Facebook, Tweeter and other solcial networks. Book 5 theaters in LA and 3 in NY for limited theatrical release;"When the world is suddenly filled with the undead, Robert
 Morgan's (Chris Mulkey) worries are pulled away from how to keep the family
 farm to how to keep his family alive. 
 With his wife Molly (Karen Landry) near the breaking point and his son
 bitten by one of the creatures, Robert must defend their home from the
 invaders. But as supplies run low and he
 is forced to venture out for food, Robert encounters more danger and must
 become even more brutal in his attempts to provide for his family. When other survivors appear, will they be
 able to help him, or will they turn out to be the greatest threat of all to his
 family?
 
 With outstanding performances by the cast and makeup and
 effects from an award winning team, Collapse offers a new twist on the zombie
 film.";HD;2.5 M;Bruce Elgin;Mike Saunders;Mike Saunders, Jason Bolinger;Jenny Stolte;Vincent Gillioz;StoryBench;PG13

FIGHTERS BALLAD;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705816;;DVD;;500,73;;Faith, Drama, Thriller;FIGHTERS BALLAD;"Russell, Clive / Cadwell, Peter / 
 Worth, Kathryn /";Ukpo, Sebastian, Tony;;Full;;30;1;19,98;;;;;2010;9/23/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;1.85:1;NA;English;No;No;99 Minutes;;Yes;NN;;;;;;Million Dollar Baby / The Place Beyond The Pines / Mean Streets / Rust And Bone / 25th Hour;http://www.privatecinema.info/#!fighters-ballad/cic8;"A powerful awarding winning modern Drama starring CLIVE RUSSELL from Game Of Thrones and Thor The Dark World.
NOMINATED FOR BEST DIRECTOR, PEOPLES AWARD AND REVELATION AWARD, AND WINNER OF BEST FEATURE FILM, BEST SCREENPLAY, BEST ACTOR (Peter Cadwell) JOHN PAUL II FILM FESTIVAL 

OFFICIAL SELECTION CORNWALL INTERNATIONAL FILM FESTIVAL , AND LONDON INDEPENDENT FILM FESTIVAL 

NOMINATED FOR BEST DIRECTOR, PEOPLES AWARD AND REVELATION AWARD, AND WINNER OF BEST FEATURE FILM, BEST SCREENPLAY, BEST ACTOR (Peter Cadwell) JOHN PAUL II FILM FESTIVAL  ""While some films depend on lavish CGI flights of fancy, The Fighter’s Ballad draws its strength from its simplicity. Taking place in a cavernous east London church, this is a stark two handed confrontation between the gentle-spirited Reverend John and the Fighter of the title - a loquacious ball of anger and despair who breaks in from the street. Though the rhythmic back and forth of their exchange often smacks of the stage, there’s an impressive visual sheen here - and the dialogue is given a weighty intensity by the superb performances of Peter Cadwell and Clive Russell.""
Danny Leigh - Film Critic & Co-host of BBC Film ";"Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published --Agressive exposure and follow ups on Facebook, Tweeter and other 
solcial networks. Book 7 theaters in LA and 5 in NY for limited 
theatrical release. And premiere/red carpet in LA
----------------------
The Fighter's Ballad' will be
Theatrically Released across the US, Canada and Central Asia.The film will also be distributed globally on DVD, Bluray... as well as on
VOD, iTunes, Love Film, Netflix. Festivals: Official Selection 'John Paul II International Film
Festival' Miami 2012. 
Official Selection 'London Independent Film Festival' 2012 / Official
Selection 'Cornwall Film Festival' 2011. Facebook: www.facebook.com/thefightersballad / Website:
www.thefightersballad.com. Twitter: twitter.com/fightersballad / IMDb: www.imdb.com/title/tt1814886";The story begins with a world-weary priest (Clive Russell) carrying out his mundane daily duties to a dwindling congregation. A violent, desperate man (Peter Cadwell) breaks into the church and begins a heavyweight bout of soul-searching and redemption, reflecting and refracting the anxiety and anger of contemporary society.;HD;6M;JANE FRISBY / TONY S UKPO / PETER CADWELL / MARK REID / TREMAIN BROWN;PETER CADWELL;TONY S UKPO;YOSUKE KATO;SAM KARL BOHN;YELLOW DOLPHIN FILMS / VERTIGOHEIGHTS FILM / RENDERYARD / STAINED VISION PICTURES;PG13

IN THE CLOSET;USA AND CANADA;YES;FENIX PICTURES;0 609408 705519;;DVD;;500,74;;Horror/Faith   ;IN THE CLOSET;Coleman, Lamont A / Dowridge, Denver;" Dowridge, Denver 

";;Full;;30;1;19,98;;;;;2010;10/14/14;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16:09;NA;English;No;No;107 min;;Yes;NN;;;;;;Ides of March, Primary Colors, The Manchurian Candidate, Paranormal Activity, Dogma, The Exorcist;http://www.privatecinema.info/#!in-the-closet/c8hy;"
-A Christian oriented film that focuses on how the morality of god is rightous and disobeying his word is wrong. The film is also a right wing leaning poitical drama featuring a primary black cast.  ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"2045, two brothers form the Black Foundation, a movement in the U. S. that suggests the Government apologize to slave descendants for their hardships, and bestow on them reparations by any means necessary.. ""..Or Holy Hell will break loose..” Luke, the oldest son, discovers the power and guidance of Christ and tries to save himself but his brother and father as well.Wrong actions brings a Demon into the life of the two brothers:Will Christ prevail, or will the Demon’s efforts consume the Maxwell Family?";HD;1M;Colsac, Stewart, Mainstreem, Biblical Films, Christian Productions;Denver Dowridge, Lamont A. Coleman;Daniel Smith-Coleman;Ron Levy, Daniel Smith-Coleman;Locksmith;Biblical Films;PG13

SEASON OF THE WITCH;USA AND CANADA;YES;FENIX PICTURES;0 609408 422652;;DVD;;500,76;;Thriller;SEASON OF THE WITCH;Kingston,Beth / McConnell, Tim ;Peter Goddard;;Full;;30;1;19,98;;;;;2010;10/28/14;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;NO;NO;98  min;;Yes;NN;;;;;;Blair Witch Project, The Omen, Sleepy Hollow, The House of the Devil;http://www.privatecinema.info/#!season-of-the-witch/c1lzk;Distinct dream-like direction, reminiscent of David Lynch. Stunning cinematography of the English countryside. Eerie supernatural plot that takes its time with its scares.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Mary Blackwell travels back to her hometown of Maiden Hollow to clear out her recently deceased father's house. She takes her two children Alice and Sam with her. Whilst there they discover a tiny village, which has been isolated from surrounding towns and in which the locals have developed their own way of life. The villagers are initially hostile towards the new family, but grow to accept them. Local priest Michael Howdy, however, takes an unhealthy interest in Mary's daughter Alice. Villagers Harry Price, John Elliot and Tom Hopkins, notice this interest and keep a close watch on Michael. After being involved in a car crash some years back, Michael has suffered head and brain injuries which spark off a series of surreal fantasies confusing Alice with his dead wife Isobel (who died in the car crash.) Whether or not Alice is connected with Isobel or that she merely has a resemblance to her is left deliberately ambiguous. Michaels illness invades his mind and his sanity leading to him finding himself in position he could never have intended. The villagers enact swift and callous retribution only realizing the horror they have committed at the last moment when it is already too late....;HD;1 M; Peter Goddard;Peter Goddard;Peter Goddard;Peter Goddard;Samuel Clark;Devils Avalanche Films;PG13

Offering, the;USA AND CANADA;YES;FENIX PICTURES;0 609408 705502;;DVD;;500,75;;Thriller, Drama;Offering, the;Diddy, Shawn / Schuyler, Lonnie / Skram, Kerry;Elgin,Bruce;;Full;;30;1;19,98;;;;;2009;10/28/14;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;English;No;No;95 minutes;;Yes;NN;;;;;;Psycho, Silence of the Lambs, Mr. Brooks, Insomnia;http://www.privatecinema.info/#!offering-/c1859;A gripping re-telling of the favorite legend St. George and the Dragon, with a female sheriff, (former Miss Iowa Shawn Diddy) as the knight and the dragon recast as a serial killer that she is forced to make a deal with.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"When a small town sheriff and single mother learns that her daughter has been kidnapped by a serial killer that has just moved to town, she is forced to make a bargain to save her daughter's life. But, as people start to die, she realizes that in order to protect the good people in her town, she must pick the killer's victims, and bring them to him. She begins to choose victim after victim for him, and is drawn deeper into trouble when the FBI and the widow of one of the victims begin to investigate what is going on.
 As she worries more for her and her daughter's lives, the sheriff tries to plan an escape for her and those closest to her. But with the killer always close at hand, her plans to flee are destroyed and she is forced to fight for those that she loves.
 But as she fights, she discovers that she might have learned the killer's lessons too well.
 
 
 Short Synopsis/logline...
 A small town sheriff, in order to protect her daughter and the townspeople she loves, is forced to not only let a serial killer run loose in her town, but also has to choose his victims for him.";HD;1M;Bruce Elgin;Bruce Elgin;Stephen Jennings;Eric Freese;Vincent Gillioz;StoryBench;PG13
